Key,English(en),Korean(ko)
cafe.item.meowpaw,Meowpaw,냥발바닥
cafe.item.red-bean-snow-ice,Red bean snow ice,팥빙수
cafe.item.jelly-apartment,Jelly apartment,젤리 아파트
cafe.item.jelly-kneader,Jelly kneader,젤리 꾹꾹이
cafe.customer.dean.displayname,Dean,총장
cafe.customer.teamplay_mvp.displayname,Group Project Faker,팀플 버스기사
cafe.customer.broken_girl.displayname,Heartbroken Girl,헤어진 여학생
cafe.customer.couple.displayname,Couple,커플
cafe.customer.solo_eater.displayname,Eating Alone Student,혼밥하는 복학생
cafe.customer.freshman.displayname,Freshman,새내기
cafe.customer.rain_wetted.displayname,Rain-wetted Student,비에 젖은 학생
cafe.customer.f_giver_prof.displayname,F Bomber Professor,F 폭격기 교수
cafe.customer.test_preparer.displayname,Student Preparing for Test,시험기간인 학생
cafe.customer.early_bird.displayname,Early Bird,1교시인 학생
cafe.customer.apply_failer.displayname,Apply Failer,수강신청 망한 학생
cafe.customer.senior_and_junior.displayname,Senior and Junior,선배와 후배
cafe.customer.grass_enjoyer.displayname,Grass picnicker,봉플하는 학생
cafe.customer.top_student.displayname,Top Achiever,과탑
cafe.customer.developer.displayname,Developer,아망추 게임 개발자
